,postal_code,state_id,oportunidad
143,33914,FL,A
144,33921,FL,A
145,33922,FL,A
146,33904,FL,A
147,34135,FL,A
148,33912,FL,A
149,33916,FL,A
150,33966,FL,A
151,33990,FL,A
152,33919,FL,A
153,33956,FL,A
154,33928,FL,A
155,33931,FL,A
156,33909,FL,A
157,33905,FL,A
158,33903,FL,A
159,32043,FL,A
160,32656,FL,A
161,32068,FL,A
162,32073,FL,A
163,32065,FL,A
164,32003,FL,A
165,33981,FL,A
166,33953,FL,A
167,33982,FL,A
168,33950,FL,A
169,33952,FL,A
170,33983,FL,A
171,33955,FL,A
172,33948,FL,A
173,33980,FL,A
174,32054,FL,A
175,34222,FL,A
176,34207,FL,A
177,34217,FL,A
178,34201,FL,A
179,34211,FL,A
180,34202,FL,A
181,34208,FL,A
182,34221,FL,A
183,34250,FL,A
184,34219,FL,A
185,34209,FL,A
186,34216,FL,A
187,34228,FL,A
188,34243,FL,A
189,34212,FL,A
190,34210,FL,A
191,34203,FL,A
192,34205,FL,A
193,34251,FL,A
194,34215,FL,A
195,32506,FL,A
196,32508,FL,A
197,32505,FL,A
198,32534,FL,A
199,32502,FL,A
200,32503,FL,A
201,32514,FL,A
202,32501,FL,A
203,32504,FL,A
204,32507,FL,A
205,32577,FL,A
206,32533,FL,A
207,32561,FL,A
208,32526,FL,A
209,32063,FL,A
210,32789,FL,C
211,32825,FL,A
212,32805,FL,A
213,32836,FL,A
214,32818,FL,C
215,34786,FL,A
216,32808,FL,C
217,32810,FL,A
218,32703,FL,A
219,32829,FL,A
220,32814,FL,C
221,34760,FL,A
222,32827,FL,A
223,32835,FL,C
224,32811,FL,A
225,32709,FL,A
226,32801,FL,C
227,32826,FL,A
228,32837,FL,C
229,32822,FL,A
230,32830,FL,A
231,32803,FL,A
232,32832,FL,A
233,32804,FL,A
234,32839,FL,C
235,32807,FL,A
236,32820,FL,A
237,34761,FL,C
238,32751,FL,A
239,32821,FL,A
240,32806,FL,A
241,32816,FL,A
242,32809,FL,C
243,32812,FL,A
244,32824,FL,A
245,32817,FL,A
246,32828,FL,A
247,32712,FL,A
248,32819,FL,C
249,34787,FL,A
250,32680,FL,A
251,32628,FL,A
252,32055,FL,A
253,32038,FL,A
254,32025,FL,A
255,32024,FL,A
256,32011,FL,A
257,32034,FL,A
258,32097,FL,A
259,32046,FL,A
260,34972,FL,A
261,32901,FL,A
262,32940,FL,A
263,32937,FL,A
